state,year,votes_dem_perc_diff,votes_gop_perc_diff,exp_amo_diff,dem_comm_exp_diff,rep_comm_exp_diff,dem_adv_exp_diff,rep_adv_exp_diff,dem_research_exp_diff,rep_research_exp_diff,dem_others_exp_diff,rep_others_exp_diff,dem_logistics_exp_diff,rep_logistic_exp_diff,dem_exp_diff,rep_exp_diff,winner
NE,2016,-5.821948417808469,4.398775743899769,6149746.470000006,-0.030830470000000002,0.05380480000000004,2.837318699999999,3.1298075499999998,-0.02,0.20669685999999998,-0.0003002800000000003,-0.03132536000000001,0.0,0.004574669999999999,4.345992860000002,1.8037536100000038,REPUBLICANS
NE,2020,31.666397182365884,12.276166876024526,-4159665.4000000004,0.19432980999999996,-0.50734217,-1.718880979999998,-2.129038200000001,0.0027565,-0.20669685999999998,0.05731821000000002,-0.038695110000000005,0.19413808000000005,-0.007554679999999999,-5.602897960000001,-7.6173127,REPUBLICANS
NH,2016,-5.691888483903875,4.810892403566947,160806841.6800001,2.4777957100000005,2.43031238,74.94594566999997,76.64931047000009,0.02676228999999994,0.15341499999999997,1.36933477,1.8898357200000002,0.7583651199999999,0.09439574999999999,44.80950963,115.98596325,DEMOCRATS
NH,2020,21.91945507652227,5.744527025073022,-166618335.5600001,-2.93838452,-2.60555466,-73.75192562999997,-82.30686977000008,0.017294150000000008,-0.22836501999999997,-1.3619504100000002,-1.8249733000000001,-1.51184185,-0.09439574999999999,-50.325376240000004,-124.12810701000001,DEMOCRATS
NJ,2016,1.0906305159143024,8.416871507774939,8335906.379999995,1.9794642800000002,0.27626543000000003,6.231241079999999,-0.43867238000000053,0.41492218999999997,-0.004999999999999999,-0.195247,0.05105188,0.06777628,-0.04589538,2.6603074999999983,5.675598880000001,DEMOCRATS
NJ,2020,21.41515204270583,17.562594690289792,62414852.879999995,0.7295513400000004,0.6436534199999999,44.0136933,16.834912410000005,0.07391231000000009,-0.00375,0.14013572999999993,-0.021157410000000005,-0.02676880999999999,0.030670590000000005,12.710150839999992,22.669107139999998,DEMOCRATS
NM,2016,-7.247402699026088,-4.800945834872002,-7771070.369999858,-0.47747590999999995,-0.07699376,-3.903155549999999,-2.6991564799999996,-0.012,-0.041499999999999995,-0.2500141700000002,0.00319709,-0.31397158999999825,0.0,-3.4513637400001103,-4.319706630000056,DEMOCRATS
NM,2020,30.210209898399416,25.722705190088437,34166519.76999998,0.6592373900000001,0.23799184,17.29253487000001,10.894500140000003,0.03806686,0.0,0.05406984000000002,0.10005258000000004,0.41890572,0.0005,4.61402633,0.051556179999999986,DEMOCRATS
NV,2016,1.4842681129827824,10.460408096348532,66944420.62000246,1.3073671599999992,1.1524431199999992,27.187890730000156,35.81277555999995,0.23738116999999986,0.2843469900000001,-0.4095261200000093,0.34877484000000025,-0.08546445000000036,1.1084316199999988,32.335139769999074,34.60928084999986,DEMOCRATS
NV,2020,30.453955420390905,30.82307082400822,-38026285.280000195,0.3310283100000022,-0.7004022099999987,-2.6600290300001106,-33.928670319999966,0.7677836200000002,-0.36801399000000007,-0.14500749999999987,-0.4856394400000002,0.2448353400000025,-1.0821700599999988,-26.89358763999997,-23.70507906999991,DEMOCRATS
NY,2016,5.164713793999761,26.589583416726747,4466444.609998234,0.08454138999999605,-0.7722868900000006,9.3423388,-6.0708868599999875,-0.21336710000000003,0.18298445000000008,0.1486300899999996,0.06288069,0.10018143000000007,-0.2172552,-5.981621810000325,8.629382609999102,DEMOCRATS
NY,2020,15.314667507556797,15.477961435932563,49506833.22000151,1.7711159900000029,0.7833827100000008,40.45957832999997,8.294828759999998,-0.09444821999999994,-0.4962875800000001,0.13456366000000053,0.06784577,0.13620057999999985,0.16029891999999998,-5.132304919999685,-12.682229749999124,DEMOCRATS
OH,2016,-15.329388203015892,6.748235050106954,-16027249.869968064,-1.2226617600000016,-2.0600723699999994,-13.90184214000001,1.754785909999974,1.3285846999999993,0.01734573000000006,-0.164418540000271,-0.5040060700000002,-1.3163376600000265,0.04137233000000004,1.9403512299922276,-17.967601100004813,REPUBLICANS
OH,2020,11.90398819796806,11.046407873270198,-25508237.360020533,2.14944936,-0.17820891000000005,-4.019414719999986,-22.121814440000005,-0.5721449299999991,0.008235769999999976,-0.7454801599998657,0.41552628999999985,-0.3295046099999924,-0.11488101000000006,-21.83995807999147,-15.584561469994913,REPUBLICANS
OK,2016,-5.224249064924349,6.485961910638656,650931.4100000001,-0.03193252,-0.1127273,0.5434324900000002,0.1897810900000001,0.0,0.037,0.000135,0.025242650000000002,0.0,0.0,0.07995272000000002,0.5954300800000012,REPUBLICANS
OK,2020,19.866785608088016,7.495659210060518,11933335.450000001,0.12245783999999998,0.028043659999999998,9.327404149999998,2.3250536,0.00025,-0.037,0.00310245,-0.002596130000000002,0.16661988,0.0,0.34971103,-1.953218050000001,REPUBLICANS
OR,2016,3.257948578447132,3.7428978685318395,-891754.1699999999,-0.07609426999999998,0.3162595299999999,-2.513433750000001,1.04049632,0.0,0.1485,0.0008202800000000001,0.18837077000000002,-0.0471255,0.05045245,0.4290189499999997,-1.3207731199999992,DEMOCRATS
OR,2020,33.75660858232562,22.500552784178996,1267598.63,0.24785870000000004,-0.4594523399999999,4.59593971,-2.7230199799999997,0.025,-0.175,0.00423172,-0.19750673000000002,0.0,-0.05045245,-2.20627344,-2.4296615200000007,DEMOCRATS
PA,2016,-2.134687322967728,10.830298377053865,87966217.65000069,1.0423594399999998,-0.2094513100000004,46.86474919000009,36.205075349999994,1.2336883900000002,-0.10885613,-0.14455066000005534,0.6852260599999993,2.065472249999981,0.33250507000000007,42.24508841001787,45.72112924000601,REPUBLICANS
PA,2020,18.2297199909378,13.718163160405194,-37279730.86999673,-0.65624795,-0.45485175999999994,-2.983803190000131,-31.920487840000007,0.15602776999999834,0.09051473999999998,0.10337640000005277,-0.20312365999999948,-1.0958308699999855,-0.31530451000000004,-49.36690028001689,-57.914187950006095,DEMOCRATS
RI,2016,-9.849718513004234,14.85132134062144,-1073879.72,-0.21906759,-0.006486240000000001,-0.33536242999999993,-0.49765115000000004,0.0,-0.017,0.0,0.0017015700000000001,-1.3880000000000001e-05,0.0,-0.49702284,-0.6143471200000001,DEMOCRATS
RI,2020,21.565934065934066,10.719153415701701,117509.75999999998,-6.303999999999999e-05,-0.00841323,0.0,0.12773595,0.0,0.0,0.0,-0.00174992,0.0,0.0,0.0,0.155,DEMOCRATS
SC,2016,-1.2204064711106184,7.814528131984006,-4968896.880000014,1.4015841800000004,0.3880136999999997,-10.892209529999993,3.376993200000001,0.049189750000000004,-0.0265,0.03542095,0.11830481000000001,0.56103573,0.01927033,-0.5151705400000002,-4.453726339999999,REPUBLICANS
SC,2020,27.60994326451735,19.881961832768013,51483735.49000003,0.8076629200000003,0.4861683499999998,22.674309509999986,25.546228139999975,0.4928825,0.33303900000000003,0.5191664300000002,0.28701115,-0.54703952,0.028522000000000002,-0.9720917299999996,-15.3919556,REPUBLICANS
SD,2016,-19.016264590903138,8.124495513033569,3242199.6700000013,0.04000676,0.03255564,2.643765389999999,-0.18989834000000028,0.0,-0.02788,0.0,0.00127025,0.0,0.0,0.7028768300000003,1.7969428700000005,REPUBLICANS
SD,2020,28.106216690221185,14.63281822932448,-3820557.5600000015,-0.04000676,-0.07130596,-2.049106599999999,-0.9214519299999997,0.0,0.0,0.005,-0.0013063399999999998,0.0,0.0,-2.0016006,-1.8797105500000006,REPUBLICANS
TN,2016,-9.369538538725045,4.143729527534824,-4376316.660000003,-0.07324203999999998,-0.1966944,-1.9575354900000002,-2.15226164,0.0,-0.03,0.0007084699999999999,0.03183808,0.00077036,0.0001,-2.1624595200000005,-2.628185880000001,REPUBLICANS
TN,2020,31.356100586313232,21.63927967562421,57086019.650000036,1.5897911099999997,1.320477480000001,24.243226879999998,26.420916799999986,3.0490341200000013,0.29296626,-0.0011934399999999998,0.03453571999999999,-0.0007521,0.13701682,28.010638879999995,23.96382808000003,REPUBLICANS
